SideEffect,Jaccard similarity coefficient,label,,,
alcohol abuse|alcohol consumption|alcohol craving|alcohol dependence|alcohol intolerance|alcohol intoxication|alcohol problem|alcohol withdrawal|alcoholism,0.013422819,Unknown,,,
cataplexy,0.012690355,Unknown,,,
impaction,0.012626263,Unknown,,,
excitement,0.012077295,Unknown,,,
put on weight|weight gains|gain a lot of weight|gain lbs|gain pounds|gain weight|weight increased|weight problem|fat,0.011673152,Unknown,,,
shakiness|shaking|shivering,0.010845987,Unknown,,,
withdrawal|withdrawal emotional|withdrawal headache|withdrawal seizures|withdrawal syndrome|withdrawl|withdrawn,0.010162602,Unknown,,,
relaxed,0.01010101,Unknown,,,
red blotches|red eye|red face|red man|redness,0.010075567,Unknown,,,
apnea,0.010050251,Unknown,,,
appetite increased|increased appetite|increased my appetite,0.009876543,Unknown,,,
ocd|obsessive compulsive disorder,0.009861933,Unknown,,,
hunger|hunger pangs|hungry,0.009756098,Unknown,,,
stress disorder|stress reaction|stress symptoms|stressed,0.009569378,Unknown,,,
bipolar depression|bipolar disorder|bipolar i disorder,0.009546539,Unknown,,,
nausea|nausea and vomiting|nauseated|nauseous,0.008032129,Unknown,,,
itching|itching skin|itchy,0.007425743,Unknown,,,
restless|restless legs|restless legs syndrome,0.007317073,Unknown,,,
palpitation|palpitations nos|skipped beats,0.00729927,Unknown,,,
sadness,0.006493506,Unknown,,,
crying|crying uncontrollable,0.005802708,Unknown,,,
panic|panic attacks|panic disorder|panic disorder with agoraphobia,0.005420054,Unknown,,,
dyslexia,0.005076142,Unknown,,,
energy increased,0.005076142,Unknown,,,
wandering,0.005076142,Unknown,,,
personality changes,0.005063291,Unknown,,,
acid reflux|Acidity|indigestion acid,0.005050505,Unknown,,,
dazed,0.005050505,Unknown,,,
increased libido|libido increased,0.005050505,Unknown,,,
bad breath|bad taste,0.005025126,Unknown,,,
disabilities,0.005025126,Unknown,,,
oppositional,0.005025126,Unknown,,,
stumbling,0.005025126,Unknown,,,
thyroiditis,0.005025126,Unknown,,,
spacey,0.005012531,Unknown,,,
pregnancy,0.004987531,Unknown,,,
accident nos|accidents,0.004950495,Unknown,,,
hesitancy,0.004842615,Unknown,,,
binge,0.004819277,Unknown,,,
negative thoughts,0.004728132,Unknown,,,
cold feet|cold sweat|cold symptoms|coldness|common cold,0.00462963,Unknown,,,
bulimia|eating disorder,0.004618938,Unknown,,,
bad dreams|weird dreams|vivid dreams|dreams|bizarre dreams|crazy dreams|wild dreams|detailed recall of dream,0.004376368,Unknown,,,
ptsd|post traumatic stress disorder|posttraumatic stress disorder,0.004376368,Unknown,,,
acne nos|acnes|cystic acne,0.002538071,Unknown,,,
after taste|aftertaste,0.002538071,Unknown,,,
aversion,0.002538071,Unknown,,,
battery,0.002538071,Unknown,,,
blood clot|blood in stool|blood stool,0.002538071,Unknown,,,
blotchy,0.002538071,Unknown,,,
bruxism,0.002538071,Unknown,,,
cns stimulation,0.002538071,Unknown,,,
dependence addictive,0.002538071,Unknown,,,
dullness,0.002538071,Unknown,,,
hypersomnia,0.002538071,Unknown,,,
hyperthyroidism,0.002538071,Unknown,,,
hypothyroidism,0.002538071,Unknown,,,
mouth irritation,0.002538071,Unknown,,,
neurotoxicity,0.002538071,Unknown,,,
obesity,0.002538071,Unknown,,,
obstruction,0.002538071,Unknown,,,
paralysis,0.002538071,Unknown,,,
parkinson disease,0.002538071,Unknown,,,
parkinsonism,0.002538071,Unknown,,,
passed out,0.002538071,Unknown,,,
schizoaffective disorder,0.002538071,Unknown,,,
sulfa allergy,0.002538071,Unknown,,,
treatment effectiveness,0.002538071,Unknown,,,
heartburn|heart burn,0.002531646,Unknown,,,
hypertension|hypertension arterial|hypertension nos,0.002531646,Unknown,,,
birth control,0.002525253,Unknown,,,
blindness|blindness day,0.002525253,Unknown,,,
clumsiness,0.002525253,Unknown,,,
hostility,0.002525253,Unknown,,,
loss of interest,0.002525253,Unknown,,,
tics,0.002525253,Unknown,,,
dissociation,0.002518892,Unknown,,,
spotting,0.002518892,Unknown,,,
arthritis|arthritis nos,0.002512563,Unknown,,,
cramp|cramp legs|cramps in legs,0.002512563,Unknown,,,
dehydration,0.002512563,Unknown,,,
indigestion,0.002512563,Unknown,,,
metabolic,0.002512563,Unknown,,,
chilliness|chills,0.002506266,Unknown,,,
lose effectiveness,0.002506266,Unknown,,,
spasms,0.0025,Unknown,,,
tension,0.0025,Unknown,,,
immunity,0.00248139,Unknown,,,
irrational|irrational thoughts,0.00248139,Unknown,,,
paranoia,0.00248139,Unknown,,,
ideation,0.002475248,Unknown,,,
fibromyalgia,0.002463054,Unknown,,,
manic,0.002463054,Unknown,,,
sedation,0.00245098,Unknown,,,
crippled,0.00243309,Unknown,,,
brain death|brain disorder|brain fog|brain irritation|brain tumor,0.002427184,Unknown,,,
shock,0.002415459,Unknown,,,
"tinnitus,buzzing in ear,hearing loss|hearing problem|ear congestion|ear diseases|ear disorder|ear disorder nos|ear hissing|ear infection|ear noises|ear ringing|ear roaring|earache|infection of ear|roaring in ear",0.002386635,Unknown,,,
menopause,0.002358491,Unknown,,,
sensitization,0.002358491,Unknown,,,
death|death sudden|death of mother,0.002347418,Unknown,,,
obsessions,0.002123142,Unknown,,,
fear|Fear of death|fear of dying,0.002024291,Unknown,,,
detachment|detachment emotional|emotional|emotional problems|emotional reaction|emotional withdrawal|emotionally numb|reaction emotional,0.026748971,,,,
thirst|thirsty|increased thirst,0.007614213,,,,
antisocial|antisocial behavior,0.007537688,,,,
Discontinuation,0.007444169,,,,
tenseness,0.007389163,,,,
flu|flu symptoms,0.007371007,,,,
ache stomach|stomach ache|stomach cramps|stomach dilatation|stomach discomfort|stomach issues|stomach pain|stomach problems|stomach ulcer|stomach upset,0.007142857,,,,
argumentativeness,0.005050505,,,,
blister,0.002538071,,,,
