,drugName,review
13,fluoxetine,most of my life i have struggled with severe panic attack general anxiety ptsd amp moderate depression been on med twice before until i felt better amp then i would stop taking them this last time it had been close to a year that i had been suffering again before i decided to reluctantly go back on med i tried celexa again it worked kinda okay in the past but this time it made no improvement for me saw the doc who switched me to prozac all i can say is wow best yet i feel like my old happy self after only month mg the first week the second and mg the last two give it time to work amp be patient it might make you feel a bit off amp not better at first but it is a miracle drug these bad feeling will pas hang in there
14,fluoxetine,ive been on every antidepressant known to mankind and they were awful to me either the side effect were too bad or it turned me into a complete zombie to the point work wa out of the question and then my dr said we would try one more called prozac and the reason he had not prescribed it before wa because it took week to reach full effect a where the others took le then half that time i started out taking mg because i have always been very sensitive to antidepressant and their side effect for about the first or week i experience light anxiety then finally the week passed and still nothing but then finally about week into the mediation i feel like santa clause on steroid it ha saved my life
15,fluoxetine,i am a year old male in i wa going through a very serious bout with anxiety and depression luckily there wa a place called freedom from fear on staten island that wa able to counsel me free of charge a wa affiliated with columbia university and a doctor there prescribed for me a new drug that wa just approved and availableprozac i took it for eight month or so and recovered so much so that it helped me deal with the tragedy of my mother dying only a year later yes this medicine saved my life this is are the reason i am here right now i only took the medicine for that eight month and slowly got off it here i am year later totally fine
16,adderall,help me keep my attention in class but seems to make me keep grinding my teeth and move my jaw around a tick i guess
17,alprazolam,this is an exceptional medicine i have been on it for only a couple of week i have tried seroquel trazodone ambien and none of these have worked but alprazolam is a miracle medicine
18,fluoxetine,this is one of the only drug that i dont have any side effect from
19,alprazolam,xanax got me through a year or so of acute anxiety and debilitating panic attack i got rather attached to those pretty lavender pill i called them quotmy darling little easter eggsquot they were so precious in relieving the terror that developed into agoraphobia at max dose i wa so sedated i started calling it quotzombinalquot it had stopped working it magic and under the care of a naturopath i simply stopped taking it amazingly after a couple of shaky day my anxiety diminished and panic attack were history i later learned that between depleted receptor and miniwithdrawls xanax wa actually causing my symptom no more xanax no more panic not even the slightest anxiety i guess i got cured
20,prozac,prozac really worked for me it kept my depression under control along with my anxiety only side affect is you can forget about sex i also experienced short term memory loss
21,prozac,i am beginning my fourth week on mg fluoxetine taken each morning i am recovering from a long term abusive relationship with a narcissist i have a head injury that predisposes me to fatigue i asked the doctor to help me with my energy level i did not admit it but the underlying feeling i had wa that everything wa too much and nothing matter anyway but nobody would have guessed how hopeless i had become and had been for at least year initially i experienced all of the symptom people warn about in the first few week insomnia and occassional extreme anxiety were the worst now i feel enthused about taking thing one at a time and am enjoying the process i have begun to sleep normally again so far so good
22,adderall,i just started adderal mg about a week now before i wa on mg not extended release just tab for month im always so tired the higher dose help me stay awake and function through my day glad something work so far no side effect noted
23,alprazolam,i wa extremely against xanax because of knowing people who abused it and being someone who will try homeopathic cure before using prescription that said it really help me i have anxiety i would describe a anywhere from mild severe depending on the day and week but sometimes i get in these intensely anxious thought pattern where i can not let go it medication during these period is a godsend it allows me to return back to my normal nonanxious self i rarely have noticed sleepiness a an effect of the medication only when i wa already sleepy before taking it if you dont abuse your dose it shouldnt cause you to feel out of it or have memory loss if you truly suffer from anxiety thats my experience
24,fluoxetine,i tried several other antidepressant before being prescribed fluoxetine it ha really made a huge difference in my life i used to suffer from constant anxiety racing thought depression and suicidal thought i couldnt drive a car go grocery shopping order fast food leave my house or even talk to friend and family without having a mental breakdown eventually i wa completely dysfunctional and hopeless in combination with dbt therapy i have greatly improved i still have sad day but my anxiety is pretty much nonexistent life is not a constant struggle when i first started fluoxetine i wa very nauseous and could not orgasm after a few day the nausea wore off and with practice my sex life returned to normal
25,fluoxetine,ive tried a few antidepressents zoloft wellbutrin remeron ive been on prozac for nearly three month i wa prescribed mg a day for the first month and told the doctor i didnt notice anything she still kept me on mg a day for the second month still nothing but drowsiness wa a problem gone now ive been on mg a day for the past three week and in the past week or so i think something about me is different i rarely have the suicidal thought i did before i still do though im also normally really awkward but now i feel natural when i say something no shaky voice idk how to explain what im feeling the past week ive been pretty nauseous though i usually eat a lot though so i dont mind it
26,fluoxetine,hi first of all i am a woman who didnt believe in any antidepressant ever then came the dreaded monster i call menopause well for me it wa tough not all woman have it so bad anyways i met with my dr and told her everything that i felt and she prescribe of prozac i came home saying to myself gee i cant take this i heard so much negative thing back in the s in high school then i said well it either giving it a try and hope for the best or lose my husband of yr and cry more so i took a pill that same afternoon and wow i can say it took about week before major difference buti am thankful everyday and night a i am so much happier
27,fluoxetine,very positive experience i have tried wellbutrin celexa pristiq cymbalta effexor and prozac fluoxetine is the only one i can take with no side effect all others i had to stop early on because of unbearable side effect fluoxetine make me feel better but only at a lower dose if i take mg or over i feel lethargic give it a try
28,xanax,ive suffered from generalized anxiety for year at one point i could barely leave my house afraid to drive on bridge tunnel fly i even had anxiety about taking taking anxiety medication xanax wa a game changer for me i rarely take it but ive taken trip i never thought i would be able to take get this i wa even able to skydive not bad for an agoraphobic it build confidence just having it in my pocket really help i had to take a mg dose tonight because ive been in panic mode for five day and i finally needed to reset my mental state i think david burn quotfeeling good handbookquot is an awesome tool too im rambling because after day of super anxiety i finally took a and now i feel great
29,fluoxetine,prozac took my worry away that is all i wanted i wasnt depressed i used to wake up at night having bad dream and worry that went over and over in my head i couldnt sleep after beginning prozac that all stopped it did unfortunately give me an quoti dont carequot attitude about what other people thought of me my sister complained about that with me and said i wa difficult to talk to so i stopped taking it gradually now i wake up every night again with terrible anxiety thought and dream mostly about thing that are happening in my life i havent heard anyone talking about this any comment
30,adderall xr,it help keep me calm and focused at work i do suffer insomnia if i dont take my daily dose consistently i tried to stop taking it and my metabolism took a severe nose dive even though i never had weight problem before i did lose about ten pound when i started taking it but it leveled off and i wa able to maintain a healthy weight i would have liked to try a more natural approach to managing my add but the weight gain ha added depression and therefore im back on it
31,alprazolam,ive been taking low dose mg xanax for a few year for social anxiety and occasional panic attack it excellent i take it a needed which i like it let me feel more in control i rarely take a full dose it very effective even in a lower dose it just let me keep anxiety under control so i can function well i never notice any major fogginess or anything with it either unlike other benzos ive taken like ativan just in moderation a little go a long way absolutely great medication for anxiety and occasional severe panic attack it ha completely helped me build my confidence up and get my life back
32,alprazolam,only med that ha ever really worked for me ive tried every holistic approach to treat my anxiety taking a take the edge off like nothing else im afraid to take med but taking xanax doesnt make me nervous i only take it when my anxiety and panic come back sometimes i have it under control for long period of time i read a lot of negative thing about becoming addicted and the withdrawal effect but most of u who really suffer hate taking med we rather get better with no drug it help me calm down so i can think clearly and get through the day or night wanted to post something positive for those who are afraid to take it
33,prozac,i have always had anxiety however about month ago i began to have panic attack walking to the shop by myself walking to work i thought i wa going to pas out it wa awful then one day i just couldnt walk to work i got half way then i wa convinced i wa going to faint so walked home i then realized how out of control my anxiety had become my partner went with me the doctor prescribed me mg tablet once a day the first week my anxiety wa definitely heightened it felt like i wa losing the plot however within a month i found myself walking to the shop and work feeling fine i havent had a panic attack for over month i wish i had started this medication sooner i now feel normal again
36,prozac,it took a few month for it to start to settle in i think but total game changer month ago i wa in an awful state due to undiagnosed ocd amp depression started going to therapy and taking prozac and now it feel like im standing on more solid ground i havent felt this good in year and feel silly for my past apprehension at trying ssri only side effect ive noticed are im a bit sleepy throughout the day and im having vivid dream most night never remembered my dream before taking prozac but no complaint about the latter recently bumped up to mg after being on for a few month to try and kick the last of the obsessive thought really couldnt recommend enough i can only hope this keep working
38,alprazolam,i wa put in a mental hospital involuntarily and wa given alprazolam mg bar a a anxiety med this med completely knocked me out when i woke up i didnt have any idea what i had done before i took the pill and i didnt remember falling asleep i think this medication can be really dangerous if not taken responsibly and i would not recommend this medication at all
39,prozac,i started taking prozac week ago after mirtazapine stopped working i wa suffering with bad ocd anxiety and panic attack on a daily basis when i first started on the medication i thought it would be a miracle drug however the side effect were horrendous for solid week i wa a mess i wa depressed i dont even suffer with depression i wa cry at my desk all the time i had horrible thought crippling anxiety would not leave my house or talk to anyone the only thing that would get me through the day wa diazapam i am on mg and after week it wa like a light turned on and i have been normal for week straight i am so happy i stuck with it i know it hard but trust me it worth it
40,xanax,i have been on xanax mg tablet twice a day for about year due to a panic ha been fantastic then there wa a time when i stopped them a i only used them when needed it is comforting to know you have them just incase a they are fantastic to calm down anxiety since the onset of menopause my body just broke down into a million piece and my anxiety went through the roof so once again im taking a day until this all settle back down i can recommend these tablet they are amazingyay for xanax
41,fluoxetine,i wa on mg prozac daily for stressanxietydepression after having an eating disorder for year and felt after year i hit a plateau and weaned myself off of it when i missed a dose i definitely felt the anxiety creep back and depression set it but got sick of feeling numb with no emotion and unable to cry even when i wanted to i however after being off of it for a year and trying it again because i know i didnt gain weight on it which wa my biggest fear i am afraid to try another medicine and frankly dont feel like going through the week you have to wait to see if they work i know i liked prozac in all when i wa on it and just hope the plateau i felt is gone
43,alprazolam,very helpful in falling and staying asleep
44,alprazolam,i wa taking mg per day at equal interval i tried to stop completely and the noise came roaring back so i went back on mg per day and the noise is reduced by or more with minimal side effect so far
45,xanax,i have a panic disorder and have been taking xanax for over yr now never had to increase my dose and finally can live a normal life the doctor had tried all different medication and this is the only one that worked
46,adderall,this medicine is amazing i used to always be the last one to turn in test in high school now i take one in the morning and in about an hour feel like i am my true self with it i can process information clearly easily and very efficiently now i have no problem with writing essay answering indepth question secondguessing myself i even found that i am a lot more confident with many thing ranging from presentation to girl i also take much better care of myself throughout the day except when it come to eating for i do experience the loss in appetite to describe it it is almost like an auto tuneup program except for your brain adderall is absolutely great for me
47,adderall,hyper focused dry mouth both this and straterra put me into state of manic used depakote mg for mental balance
49,fluoxetine,i have been taking prozacgoing on week now the symptom are almost unbearable my stomach get upsetcan barely eat i cant even sleep at all it like i am tiredbut i cant sleep and i feel tired all day the one thing i cant standis the light headed feelingand i am shaky all the time it get bad im about ready to throw this medication in the trash the symptom are almost a bad a my anxiety attack in factit make it worse
51,xanax,with the panic attack i get it seems xanax work fairly fast when i feel one coming on or even when i am in the middle of one it calm me down and i can cope i have taken it for several year and have felt no side effect i am glad it is available to me
52,alprazolam,i have panic disorder and xanax ha helped me greatly the only problem that i have experienced is that i have become resistant to it rather than mg helping i need to take to calm down my doctor only allows me mg pill per month so im petrified that at some point i am going to have an attack after i have run out of med
54,prozac,i started to take prozac several month back to get off effexor it really made that transition smooth i take mg every other day i find it help with anxiety but not enough to wean off klonopin i know im normally over social and prozac make me antisocial i dont mind because im only antisocial with people i dont need to be associated with i believe my ability to orgasm ha improved from effexor to prozac i tend to sleep more than i should but it better than tossing and turning my motivation is at an all time low right now i dont know if it the prozac or work i gained weight initially but it coming off slowly and evening out i would recommend prozac it not a feelingresponsibility numbing a others med
55,fluoxetine,didnt help made me feel weird should not be used in teen
57,prozac,prozac worked great for me for about year and then it quit being effective apparently this experience is so common it even called quotprozac poopoutquot at age i started taking mg daily then increased to for the first week or two i felt slightly nauseated and had trouble getting an erection then those sideeffects vanished and i felt not only happier but more functional at the time i wa a university professor i wrote published novel during those two year a wonderful sideeffect is that i gained total ejaculatory control suddenly i wa the lover id always wanted to be but after the prozac honeymoon i found myself feeling anxious and depressed again and the prozac wa just making me sleepy so i quit cest la vie
59,alprazolam,if i could rate xanax higher i would this is without a doubt the most effective medication ive ever taken for anxiety and fast acting ive always dealt with the public speaking anxiety since high school im healthy and active and have never been depressed so thats why ive been reluctant about ssri my gp prescribed celxa went up to mg and it wa a nightmare had panic attack and very vivid intrusive thought my gp switched to lexapro mg and i still get panic attack if i get a panic attack i take a mg of xanax and it take like min to kick in and i feel great i hate ssri and wish xanax wa a daily med
60,fluoxetine,i am so happy that i finally received a diagnosis and treatment ever since i wa about year old now i have dealt with depression that came in wave my anxiety and obsessive tendency didnt begin until i wa and had the military i always thought that the high stress situation just fed into my depression and caused anxiety and obsession i finally decided to seek help and i wa shocked to find out that i suffer from obsessive compulsive disorder which cause depression and anxiety i started on prozac and within the first week i felt a rush of relief i no longer obsessed over the smallest thing i feel so much happier and my friend and family notice the difference big time
61,adderall,i have adhd and have been taking adderall for year now i take mg in the morning and sometimes a mg in the afternoon it help me to focus in school and get better grade i have gotten to the point where i will not even go to school without it
62,xanax,xanax helped me major status when i wa year old tried spice it a messed up chemical synthetic thc bull anyways i smoked three bowl and then boom i couldnt breath my hand and muscle tightened up and i couldnt move and my chest felt like i had pound on it i thought i wa dying and my whole body wa tingly went to the hospital and they diagnose with gad and panic disorder for three month i did not leave my house and i thought i wa dying of the time so my doctor put me on ativan for a month i stopped taking it in day i felt like i wa going insane so i wa given xanax for a month the first time taking it boom it all stopped i wa a normal person it helped me get over all my panic attack mg a needed
63,prozac,i take this medicine primarily for obsessive compulsive disorder but i also have depression and general anxiety disorder that it help with i took it several year ago but it pooped out on me and my psychiatrist decided to try it again about two year ago i worked up to mg because she said that i needed a really high dosage i take it when i wake up in the morning and find it activating it so weird because i find thing that i realize i do now that i wouldve never done before being on this medicine it such a good feeling each time i realize that and am reminded of how far ive come i love this medication and really really hope i can stay on it this time and not have it poop out on me
65,adderall,keep you focused however when it wear off i cant sleep till hour later
66,fluoxetine,prozac ha taken my body ache away prevents me from obsessing over what someone else did or said help with anxiety depression stress and cry a lot of the other medication i had an allergic reaction to or they made me lethargic and gain weight problem with short term memory and retaining new information but that could be my age of
70,prozac,been on fluoxetine for week now i got my script from my gp i told him i wanted to start with mg in the morning and at night that didnt work out because it affected the last hr of sleep so i just started taking the mg in the morning at first i would feel jittery for a few hour into my th week im good unfortunately i made the mistake of reading about the side effect a little too thoroughly by that i mean i read the pharmacology part for health care professional there i stumbled on a possible side effect that really bother me alopecia im a man in my early s ha anyone heard anything about losing hair on prozac
71,adderall xr,im an year old girl and i have add along with bipolarschizoaffective because i have psychotic symptom the highest dose of adderall i can take is mg my problem is it doesnt keep me focused more then hour or so because the dose is low and even though it a low dose i cant seem to eat at all ive been struggling with my weight for a while due to hyperthyroidism im and lb my goal weight is i cant afford to lose more weight the risk are outweighing the very minimal benefit
74,fluoxetine,prozac really saved my life year ago when i wa suffering from major obsessive compulsive disorder and insomnia related to it tried to stop it few time but always had to come back no sexual side effect even at mgday unofortunately it seemed that the medicine had poopedout on me after year and i currently started taking paxil
75,alprazolam,i wa prescribed xanax in when i started college at age have panic disorder anxiety disorder and ptsd dosage ha always been mg daily im completely a different person with it no more stuttering no more panic attack and running out if class to hide ive never had to increase the dose since i could never gave gotten through year of college without it
76,alprazolam,this medicine is great no side effect calm me down help with the racing thought at night and to relax and get to sleep i also had panic attack now with xanax they are gone i only take mg at night and a needed when nervous or with social anxiety if i go out it work wonder it is sad that many doctor do not want to prescribe it because of stigma of abuse and it really would help many people with anxiety disorder
77,fluoxetine,ive been on mg fluoxetine for just over one week i did take it for a few day a little while ago it made my ibs worse so i stopped my doctor persuaded me to give it another go i know it early day but so far it all bad before i wa tired unmotivated no concentration barely able to wash or do the simplest thing now im like the walking dead even more tired even le motivation brain fog you name it and possibly more depressed i also had terrible joint pain i have arthritis anyway the joint pain seem to be lessening the others arent so far i just hope it a case of getting worse before it get better co atm it almost unbearable
78,prozac,ive been taking prozac for about year i took mg then mg a of last year it worked very well for a very long time and i felt great for year but im finally starting to feel a tolerance to it effect and it might be time to switch medication but it certainly been a good run it helped me feel better and lifted my depression
79,alprazolam,in my opinion this medicine ha saved my life it keep me calm and relaxed it ha been my miracle drug i never knew life could be this good again i try not to remember the life i had before taking xanax
80,fluoxetine,i took prozac several year ago and it worked a little bit for a while often though it made me feel really lethargic sleepy and extremely apathetic to most thing it sort of did it job but not well enough a i have now switched to something that work better
81,fluoxetine,this drug saved my life it did not work for the first month and a half but when it did amazing result no anxiety and i suffered from panic attack not saying this drug alone will fix all your problem but it helped me so so much gave me my excitement for life back
82,prozac,prozac ha saved my life i wa unable to function normally and wa very irritable i have been taking it for month and it is amazing other than not feeling hungry and feeling numb to thing that formerly made me irate i have had no bad side effect i am finally living only wish i had the nerve to take it year ago i missed out on so much due to my severe depression
83,adderall,it work but i think it might be the effect from having extra energy so you do more thing it definitely help with motivation and depression ironically it got rid of my anxiety a well
85,fluoxetine,i wa on prozac for mild depression and mild ocd the dosage kept increasing over the year a it wa le effective until i wa on mg for the last five year i had to come off it a it gave me tinnitus and then hyperacusis severe i tried other medication which made this much louder and it ha remained even though it ha been year off all drug coming off the prozac wa so traumatic my anxiety wa so extreme i had a complete nervous breakdown wa paranoid and my ocd became extreme i now have permanent hyperacusis tinnitus anxiety severe ocd i can not leave the house and live in hell i can not hear any music at all a it get stuck in a loop prozac ha absolutely ruined my life
86,fluoxetine,i wa having hot flash every night from being perimenopause and i recently started on mg of prozac it took approximately week for it to start working and i swear by it by the th week not one hot flash i am feeling so much relief from prozac not only have my hot flash gone away but my mood are stable and i feel great
89,fluoxetine,id struggled with bulimia and depression for many year i wa prescribed prozac to mainly treat my depression and partly the eating disorder with my personal experience with bulimia i never had the urge to binge eat just to make myself vomit after eating proper sized portion of food i had found that the prozac had helped stopped the urge to throw up after eating quite effectively the only side effect being that once i had stopped taking it the urge returned immediately currently and trying to battle those thought without being prescribed medication but may go back onto it if im unsuccessful after a year or so
90,alprazolam,i started out on valium mg time a day when i wa due to petitmal seizure the doctor said my anxiety wa causing my blood pressure to go out the roof at age had a heart attack due to anxiety making my bp so high i wa in v fib now at age im taking xanax mg time a day for me all the antidepressant cause some kind of stimulation hat make my anxiety worsen so i stopped the ssri it is working for now but i fear what happens when this doesnt work anymore what am i going to do so tired of having anxiety and panic disorder i dont think too many doctor understand what a profound problem this cause in one life so really express how you really feel to your doc
92,alprazolam,im prescribed mg of xanax a needed if i ever feel very anxious and take xanax my anxiety level tune down to a im almost too relaxed however xanax can be very habit forming so only take your dose
93,alprazolam,work excellent for anxiety have horrible social anxiety which i also take zoloft for but xanax doesnrsquot really help with it not knowing cause my drrsquos didnrsquot tell me but after being on this a while and at a high dose for me up to mgday if you donrsquot take it everyday you feel like rubbish took me almost year to figure this out so regardless if i need it or not i take maybe mg a a maintenance dose in the middle of the day greatly help to not feel sick i also take mg of temazepam at night which i thought would cover me but for the past day my mood ha been really bad the worst in year and a couple mgrsquos of xanax greatly improves it but wouldnrsquot recommend it since itrsquos not prescribed to take it that way
97,xanax,act very quickly and definitely feel the calming effect the only downside is that it doesnt last very long hr max maybe even le and you quickly build up a tolerance for it so you end up having to take much more the more you use it
98,adderall xr,started off with concerta in may it wa not effective at all switched over to adderall xr mg in july for seven day a a starter dose then started adderall xr mg i noticed a considerable difference between the two medicine instantly i am able to focus for a very long period of time without being distracted my grade improved exceptionally i went from receiving grade below now my lowest grade is the benefit of this medicine do outweigh the side effect for me i noticed minute after taking adderall i have increased bowel movement lower libido and decreased appetite i stop taking adderall during break and long weekend the first day not on it i am extremely tired exercising and eating healthy help
99,alprazolam,ive been on benzos for the past year i got started on diazepam mg x daily for about month worked good but stopped working pretty quickly then got bumped up to diazepam mg x daily same result month laterfelt like i wa taking nothing then my doctor mentioned alprazolam he put me on mg x daily along with wellbutrin the xanax worked great but ive always had bad reaction to ssri so my doctor got me off the wellbutrin and put me on alprazolam mg x daily ive been on the same dose for over a year and a halfand ha worked perfectly great medication but it doe have the potential for abuseaddiction be careful with that because withdrawal from any benzo is horrific
100,prozac,i started taking prozac in april of for anxiety and depression it took about a month to actually start working i feel better going into public and dont freak out and go into the bathroom im still depressed but it improved so much it gave me side effect like lose of appetite i lost pound my first month taking it and i wa always tired but had trouble falling asleep another negative is if i miss it a day i have painful headache and lash out on everyone and treat them terrible
101,fluoxetine,ive been using mg of prozac daily for almost a year now i went from the worst ive ever been cry all the time never being able to stop thinking about how much i hated myself life and everything about life i wa not eating wa so full of rage and hate and had the most negative mindset towards everything like every second of my life wa hell and pointless seeming i wished i wa dead although would never actually kill myself for my family sake and after about or week of taking the prozac everything got so much better it wa like it flipped a switch in my head and the negative thought went away and i actually felt good and happy which i thought wa so impossible to feel taking these med wa the best thing ive ever done
102,adderall,i have narcolepsy and i take mg three time per day of quick release tab morning are great but mid to late afternoon i tend to nap and then take my last dose after last nap adderall help great for keeping me awake and alert
103,adderall,ive been on concerta before and decided to try adderall i loved the result ultra focused at the beginning i wa incredibly happy with it unfortunately i had a severe allergic reaction to it im not allergic to any other medicine but for some reason adderall got me if you get extremely itchy on the medicine stop taking it i kept taking it for a while because i loved the result and the itching got really bad
104,prozac,i have been taking generic prozac mg for day now mg for day before that i have been reading all of the comment and am starting to have hope my anxiety ha increased a lot since i started this i take ativan when needed which is every day other than the daily panic attack i dont seem to have any side affect which is great ive been thinking that maybe this drug is not for me but after reading other people experience i will ride it out and hope that everything work out after im on it for week hoping and praying it doe cause i need my life back
105,amphetamine,this drug ha been far better at treating my add than any other drug i have tried phentermine aderall ritalin and straterra for my inability to focus all other drug under the amphetamine category have caused extreme anxiety and when they wear off horrible depression and negative thought evekeo ha caused a minimum of these side effect and ha increased my ability to focus when the drug wear off i feel like i go back to my normal state without all of the depression and negative thought i dont want to describe it like this but when it wear off it is a very quotsmoothquot come down i also like that it isnt extended release because other medication would last up to hour disrupting my sleep
108,fluoxetine,im a year old girl with generalized anxiety disorder which ive struggledam struggling with all throughout high school ive been on prozac for about month now and it helped me get through a lot of very anxietyinducing situation for me before taking this medication it had become very difficult for me to even attend school and often time id have to be absent due to panic attack and overwhelming anxiety the prozac ha made everyday life so much more bearable for me i no longer feel repressed by my anxiety it not a quotcurequot but it ha helped a ton for me and i have much hope for the future now in addition it is also helpful with my mood
109,alprazolam,this medication is amazing mostly because it start working immediately and you dont have to wait a few week like with other medicine my doctor had me taking it regularly for two month until my lexapro and seroquel kicked in and then weaned me off of it i now take it only every once in a while
110,xanax,xanax ha been a life saver for me i have been diagnosed with panic disorder and depression since i wa a teenager i learned through lot of therapy that my issue are environmental and chemical there are time when meditating and positive affirmation do not work during my attack this is when i take my xanax so i can function like a normal human being i do not abuse my xanax and have been on the same dose mg for the last year there wa a time that i wa having multiple panic attack daily for month xanax helped me stay sane until my psychiatric found the right ssri for me i think that this drug is great a long a you have a good doctor and use the appropriate amount
113,xanax,i have cancer and this drug take my mind of death and is a great sleep aid
114,amphetamine,i have add it helped me study stay focused all i know is that i did study more efficiently
115,alprazolam,i wa given xanax mg over year ago for extreme panic attack always and still doe do the trick i started off with a day it became a needed luckily i didnt build up a tolerance i am having trouble since my doctor retired finding a doctor to prescribe them a i type i have been forced to be with out them for going on day and i have had a few really bad panic attack could be lack of pill could be physiological most likely menopause i have not found any one to help me with this why clearly i know what work for me
116,adderall xr,overall id say that adderall xr is better than adderall ir sometimes i feel faint on adderall xr i cant take it every day because i get too tired i have weird side effect with medication i usually get all of the side effect when i take medication i also have depression too hopefully dexedrine will work
118,prozac,i used prozac in the past for month twice and had no side effect apart from some headache for a few week now i have been on it again for week and this time i am suffering severe side effect physical one include heavy fogginesshead pressure sleeplessness muscle tension blurred vision and loss of appetite and weight loss mentally i have also worsened anxiety is really high especially in the morning feeling of hopelessness an inability to cope with life suicidal thought that i never really had before inability to focusread and feel motivated now at week i have some moment in the afternoon of feeling calmer but it is rather unpleasant numbness i hope it improves going forward but it ha been very tough
120,prozac,i am one of the few people who doesnt suffer from some mixed form of depression amp anxiety im straight anxious i have been on mg prozac for about month now starting wa a little rocky in term of heightened anxiety gastrointestinal problem and nausea but those leveled off after wks now in conjunction with cognitive behavioral therapy and daily mental work i have to say that this medicine really ha helped me get to a place where i can actually implement permanent habit and positive thought cycle and relax whereas before i had a lot of trouble not being stuck a a result of my ruminating anxiety fear guilt etc it also been really great for my marriage and my husband ha been a big teammate it been good
122,alprazolam,i suffer from anxiety to the point where i am scared of thing it wa so bad i wanted to pull my hair out i wa adopted when i wa just a few day old my mother who adopted me died when i wa life just seemed so hard for me i wa prescribed klonopin and ativan before xanax now i take xanax and concerta together and it really ha changed my life i work two job and go to college i have become a superstar at work winning contest and getting along with everyone i rate this drug a it is incredible
123,prozac,i had really bad anxiety issue before i hopped on this medicine wa constantly feeling down and never wanted to be around people the being around people part hasnt changed probably because im just a solo person but my mood is so much better and i just feel happier with life at time i feel a little to happy that i get aggravated if that make any sense but i love the medicine
124,xanax,ive been on and off xanax for year ive only always took of mg to take the edge off when i felt my anxiety coming on and if i knew i wa going to do something out of my comfort zone it ha helped me tremendously i concentrate better and it actually help my stuttering im a firefighterparamedic and im constantly dealing with stressful situation i love my job and never could have done it without xanax i hate that it get a bad wrap because people abuse it i have never even come close to abusing it and use it for what it for throughout the year ive tried all other anti anxiety medication and xanax is the only one that helped me it almost like i have a chemical imbalance and xanax corrects it
125,fluoxetine,i have taken fluoxetine for pmdd for month and the result have been remarkable i take mg daily i still get a bit down around my period but i am able to control myself i do experience some side effect i wake up around am and have difficulty going back to sleep my leg are restless at night and during the first few week only i lost interest in personal grooming and became lethargic i can live with the side effect my quality of life ha greatly improved since taking fluoxetine
