SideEffect,Jaccard similarity coefficient,label
muscle cramps|muscle discomfort|muscle mass|muscle pains|muscle relaxation|muscle soreness|muscle spasm|muscle spasticity|muscle stiffness|muscle tightness|muscle tremor|muscle twitch|muscle weakness,0.000151768,known
ill feeling|illness|sick|sick to my stomach,0.028528612,Unknown 
bad dreams|weird dreams|vivid dreams|dreams|bizarre dreams|crazy dreams|wild dreams|detailed recall of dream,0.019022386,Unknown 
aggressiveness|anger|Anger Issues|angry|frustration,0.017333884,Unknown 
alcohol abuse|alcohol consumption|alcohol craving|alcohol dependence|alcohol intolerance|alcohol intoxication|alcohol problem|alcohol withdrawal|alcoholism,0.013295106,Unknown 
crying|crying uncontrollable,0.01165864,Unknown 
detachment|detachment emotional|emotional|emotional problems|emotional reaction|emotional withdrawal|emotionally numb|reaction emotional,0.009102847,Unknown 
sadness,0.008776381,Unknown 
head|head cold|head fullness|head heaviness|head injury|head pressure|head spinning|head tightness,0.008538103,Unknown 
stress disorder|stress reaction|stress symptoms|stressed,0.007837822,Unknown 
attention deficit|attention deficit disorder with hyperactivity|adhd|impaired concentration|inability to concentrate|Trouble Focusing|unable to concentrate|poor concentration|Lack of attention|Lack of concentration|confusion|mental confusion,0.007814969,Unknown 
acid reflux|Acidity|indigestion acid,0.007305414,Unknown 
withdrawal|withdrawal emotional|withdrawal headache|withdrawal seizures|withdrawal syndrome|withdrawl|withdrawn,0.006714845,Unknown 
cold feet|cold sweat|cold symptoms|coldness|common cold,0.005853044,Unknown 
addiction|drug addiction|drug dependence,0.005822143,Unknown 
overdose|overdose effect,0.004953252,Unknown 
flush,0.004435668,Unknown 
dependence on|dependence physiological|dependence psychological,0.004338918,Unknown 
Discontinuation,0.004111967,Unknown 
murder,0.004018613,Unknown 
put on weight|weight gains|gain a lot of weight|gain lbs|gain pounds|gain weight|weight increased|weight problem|fat,0.004007297,Unknown 
abuse|abuse with addiction,0.003836386,Unknown 
autism,0.003535077,Unknown 
fear|Fear of death|fear of dying,0.003257621,Unknown 
feel awful|feel weird|feeling abnormal|feeling bad|feeling cold|feeling detached|feeling drunk|feeling floating|feeling high|feeling hot|feeling lack of|feeling of despair|feeling strange|feeling tense|feeling unreal|feeling unwell|feelings of worthlessness|felt terrible|weird feeling|strange feeling|sinking feeling|light headed feeling|high feeling|lightheaded feeling|light headedness|lightheaded,0.003231067,Unknown 
birth control,0.003129082,Unknown 
alternation,0.003076552,Unknown 
bipolar depression|bipolar disorder|bipolar i disorder,0.002894312,Unknown 
fall|falling down|falling out,0.00286123,Unknown 
nausea|nausea and vomiting|nauseated|nauseous,0.002587598,Unknown 
ptsd|post traumatic stress disorder|posttraumatic stress disorder,0.002458718,Unknown 
stroke,0.002366218,Unknown 
tired|tiredness|fatigue|lethargic|lethargy,0.002361418,Unknown 
exhaustion|extreme exhaustion|extremities disorders|feelings of weakness|weakness|weakness postural,0.002321865,Unknown 
drug abuse|drug habit|drug ineffective|drug interaction|drug intoxication|drug overdose|drug reaction|drug tolerance|drug toxicity|drug withdrawal,0.002185925,Unknown 
drunk|drunkenness,0.002138212,Unknown 
zombie|zombie feeling|zombified,0.002092304,Unknown 
blindness|blindness day,0.002006506,Unknown 
excitement,0.001996914,Unknown 
manic,0.00191251,Unknown 
argumentativeness,0.001880783,Unknown 
death|death sudden|death of mother,0.001877991,Unknown 
obsessions,0.001851739,Unknown 
relaxed,0.001813965,Unknown 
tolerance,0.00178815,Unknown 
tanning,0.001731313,Unknown 
impaction,0.001673106,Unknown 
heartburn|heart burn,0.00164594,Unknown 
shock,0.001636909,Unknown 
tearing,0.001607035,Unknown 
collapse,0.001583821,Unknown 
toxicity,0.001550341,Unknown 
pregnancy,0.001522719,Unknown 
dementia,0.001445565,Unknown 
assault,0.001426144,Unknown 
wasting,0.001421013,Unknown 
disabilities,0.00136343,Unknown 
shakiness|shaking|shivering,0.001334102,Unknown 
diabetes,0.001218175,Unknown 
pressure|pressure chest,0.001209812,Unknown 
sensitization,0.001186962,Unknown 
violent,0.001096391,Unknown 
oppositional,0.00109366,Unknown 
enteritis,0.001092465,Unknown 
fog|foggy,0.00106493,Unknown 
burping,0.001036617,Unknown 
alarm,0.001031616,Unknown 
arthritis|arthritis nos,0.00100622,Unknown 
upset|upset stomach,0.001000212,Unknown 
serotonin syndrome,0.000975937,Unknown 
delusions,0.000969051,Unknown 
neuronitis,0.000944661,Unknown 
mental deterioration|mental disorders|mental impairment,0.000914077,Unknown 
brain death|brain disorder|brain fog|brain irritation|brain tumor,0.000913993,Unknown 
crippled,0.000912992,Unknown 
hyper|hyperactive behavior|hyperactivity,0.00091166,Unknown 
choking|choking sensation,0.000911605,Unknown 
lunatism,0.00091036,Unknown 
metabolic,0.000883016,Unknown 
fibromyalgia,0.000853945,Unknown 
myalgia,0.000853945,Unknown 
hunger|hunger pangs|hungry,0.000851504,Unknown 
accident nos|accidents,0.000849876,Unknown 
abortion,0.000821593,Unknown 
scaling,0.000821368,Unknown 
akathisia,0.000762335,Unknown 
anorexia|anorexia nervosa,0.000731931,Unknown 
Horny,0.000731172,Unknown 
irritability,0.000730038,Unknown 
infection|infection breast|infection nos,0.000700621,Unknown 
bleeding|minor bleed,0.00070028,Unknown 
traumas,0.000670282,Unknown 
throw up,0.000669202,Unknown 
dullness,0.0006396,Unknown 
sedation,0.000637271,Unknown 
psychosis,0.000637001,Unknown 
restless|restless legs|restless legs syndrome,0.000609403,Unknown 
irrational|irrational thoughts,0.000608643,Unknown 
doped up,0.000608439,Unknown 
thyroiditis,0.00057918,Unknown 
setting fires,0.000578968,Unknown 
premature ejaculation,0.000549032,Unknown 
spotting,0.000546813,Unknown 
coma,0.000545885,Unknown 
"breath holding|breathing difficult|Breathing Problem|breathing shallow|breathing slowed|difficulty breathing,shortness of breath|shallow breathing|labored breathing|gasping for breath|deep breath|gasping|slow respiration",0.000544168,Unknown 
passed out,0.000543856,Unknown 
menopause,0.000518293,Unknown 
personality disorder,0.000517993,Unknown 
tension,0.000517945,Unknown 
paranoia,0.00051667,Unknown 
asthma|asthma nos|asthmatic,0.000487567,Unknown 
lactation,0.00045754,Unknown 
hypertension|hypertension arterial|hypertension nos,0.000457373,Unknown 
blister,0.000457025,Unknown 
immunity,0.000456816,Unknown 
automatism,0.000456329,Unknown 
bone loss,0.000427025,Unknown 
birth defect,0.000426999,Unknown 
cortex,0.000426881,Unknown 
acne nos|acnes|cystic acne,0.000426842,Unknown 
epilepsy|epileptic|epileptic seizures,0.000426673,Unknown 
adverse drug effect|adverse drug reaction,0.000396535,Unknown 
killed my sex drive,0.000396523,Unknown 
hostility,0.000396003,Unknown 
flashbacks,0.000395979,Unknown 
hepatitis|hepatitis a|hepatitis c|hepatitis f|hepatotoxicity,0.000365976,Unknown 
ideation,0.000365943,Unknown 
unhappy,0.000365809,Unknown 
fuzzy|fuzzy head,0.000365675,Unknown 
bending,0.000365453,Unknown 
hair growth|hairiness,0.000365208,Unknown 
behavior addictive|behavior disorder|behavior problems,0.000335427,Unknown 
conjunctivitis,0.000335427,Unknown 
hives|hives giant,0.000335407,Unknown 
cerebritis,0.000335397,Unknown 
dissociation,0.000335264,Unknown 
vomiting|vomiting blood|vomiting nos,0.000334286,Unknown 
night sweats,0.00030499,Unknown 
feminization,0.000304925,Unknown 
fractures,0.00030485,Unknown 
hesitancy,0.000304794,Unknown 
distress,0.000304609,Unknown 
crazier,0.000304553,Unknown 
hot flash|hot flushes,0.000304479,Unknown 
boil,0.000303951,Unknown 
raynaud,0.000274516,Unknown 
Lactose|lactose intolerance,0.000274491,Unknown 
anaemia|anemia|anemia iron deficiency|anemia nos|anemic,0.000274474,Unknown 
dyskinesias,0.000274474,Unknown 
deafness,0.000274424,Unknown 
moaning,0.000274365,Unknown 
teething,0.000273906,Unknown 
stiff back|stiff neck|stiffness,0.000273856,Unknown 
hangover|hangover effect,0.000273573,Unknown 
hypoxia,0.000244022,Unknown 
anhedonia,0.000243984,Unknown 
ovarian cancer|ovary,0.00024394,Unknown 
congenital,0.000243902,Unknown 
weeping,0.000243895,Unknown 
scar,0.000243873,Unknown 
hysteria,0.000243687,Unknown 
central nervous system|central nervous system depression|central nervous system stimulation,0.000243635,Unknown 
Euphoria|euphoric,0.000243539,Unknown 
battery,0.000243516,Unknown 
drooling,0.000243442,Unknown 
inflammation,0.000213512,Unknown 
remission,0.000213512,Unknown 
response to stress,0.000213512,Unknown 
apathy,0.000213493,Unknown 
negative thoughts,0.000213486,Unknown 
spacey,0.000213467,Unknown 
psychosis manic|psychosis paranoid|psychotic behavior|psychotic episodes,0.000213421,Unknown 
schizophrenia,0.000213402,Unknown 
dependence drug,0.000213382,Unknown 
impotence,0.000213376,Unknown 
tenseness,0.000213343,Unknown 
gagging,0.000213311,Unknown 
bad breath|bad taste,0.000213161,Unknown 
encephalitis,0.000183016,Unknown 
atrophy,0.000183011,Unknown 
bruxism,0.000183011,Unknown 
menopausal symptoms,0.000183011,Unknown 
mutism,0.000183011,Unknown 
poop out,0.000182999,Unknown 
puberty,0.000182994,Unknown 
parkinsonism,0.000182972,Unknown 
gigantism,0.000182944,Unknown 
limp,0.000182916,Unknown 
dazed,0.000182871,Unknown 
irresponsibility,0.000182854,Unknown 
obstruction,0.000182782,Unknown 
obesity,0.00018276,Unknown 
aversion,0.000182582,Unknown 
lung cancer|lung diseases,0.000152513,Unknown 
endocrine,0.000152509,Unknown 
convulsion,0.000152495,Unknown 
short period,0.000152486,Unknown 
down syndrome,0.000152476,Unknown 
jumpiness,0.000152467,Unknown 
neurotoxicity,0.000152462,Unknown 
bruise,0.00015243,Unknown 
stds,0.000152402,Unknown 
increase in blood pressure|increased blood pressure|increased pulse rate|blood pressure high|high blood pressure|elevated blood pressure,0.000152374,Unknown 
illusion,0.000152365,Unknown 
cramp|cramp legs|cramps in legs,0.000152346,Unknown 
laughter,0.000152295,Unknown 
stumbling,0.000152286,Unknown 
slurred|slurred speech|stuttering,0.000151108,Unknown 
personality changes,0.000122003,Unknown 
apprehension,0.000122,Unknown 
lupus,0.000122,Unknown 
appetite increased|increased appetite|increased my appetite,0.000121996,Unknown 
disinhibition,0.000121996,Unknown 
inner ear,0.000121996,Unknown 
psychiatric disorders|psychiatric symptoms,0.000121992,Unknown 
weariness,0.000121992,Unknown 
unwell,0.000121985,Unknown 
concussion,0.000121977,Unknown 
fertility,0.000121977,Unknown 
antisocial|antisocial behavior,0.000121974,Unknown 
infestation,0.000121974,Unknown 
thinking irrational|thinking slow|thinking sluggish,0.000121966,Unknown 
sneezing,0.000121959,Unknown 
aspiration,0.000121948,Unknown 
delirium|delirium tremens,0.000121948,Unknown 
pale,0.000121929,Unknown 
dopey,0.000121918,Unknown 
geriatric,0.00012191,Unknown 
habituation,0.000121907,Unknown 
dehydration,0.000121888,Unknown 
faint feeling|fainting,0.000121877,Unknown 
imbecility,0.000121866,Unknown 
"sinus|sinus headache|sinus infection|sinusitis,sinusitis nos",0.000121788,Unknown 
bone spur,0.000121658,Unknown 
